training_loss,validation_loss
0.13359284,0.034763176
0.026678057,0.023335693
0.021961756,0.020612296
0.018562704,0.015243101
0.0109274965,0.0075508105
0.0057506086,0.004295474
0.003462255,0.0028784866
0.002462756,0.0021663436
0.0019514494,0.0017561882
0.0016072426,0.0014724418
0.001352984,0.0012342071
0.0011412062,0.0010407608
0.0009679814,0.0008959688
0.0008301595,0.00076875306
0.00071705534,0.00067085057
0.0006241902,0.00059344125
0.00054591347,0.00050802325
0.0004772733,0.00044691248
0.00041786538,0.00038782117
0.00036712392,0.0003422653
0.0003246939,0.00030920276
0.00028854393,0.0002734062
0.0002583119,0.00024351513
0.00023289683,0.0002246278
0.0002114982,0.00020454884
0.00019358743,0.00018523903
0.0001783714,0.00016760934
0.0001646582,0.00015616836
0.00015365063,0.00014869239
0.0001437025,0.00013755835
0.00013514064,0.00013789903
0.0001273974,0.00014889192
0.000121014375,0.00011530894
0.00011501954,0.00010980157
0.0001096387,0.000105960295
0.00010492752,0.00010061619
0.000100294965,9.567998e-05
9.652985e-05,9.185138e-05
9.306832e-05,8.8426445e-05
8.96029e-05,8.691682e-05
8.6642285e-05,8.541473e-05
8.3694795e-05,8.106774e-05
8.125182e-05,7.774254e-05
7.8930905e-05,7.6264834e-05
7.675314e-05,7.383452e-05
7.503143e-05,7.1508235e-05
7.2966e-05,7.0225855e-05
7.1277325e-05,7.032673e-05
6.948896e-05,6.581937e-05
6.8204106e-05,6.6242996e-05
6.662781e-05,6.434758e-05
6.515032e-05,6.7184155e-05
6.3709245e-05,6.3834166e-05
6.262891e-05,6.5185486e-05
6.144459e-05,5.959815e-05
6.0322167e-05,5.740096e-05
5.9617454e-05,5.7818765e-05
5.8033438e-05,5.647587e-05
5.7120968e-05,5.444985e-05
5.638531e-05,5.451616e-05
5.5415574e-05,5.4229968e-05
5.465358e-05,6.1010986e-05
5.4041535e-05,5.7599267e-05
5.3249525e-05,6.321391e-05
5.2412237e-05,4.9918955e-05
5.148074e-05,5.0666116e-05
5.0989525e-05,4.957604e-05
5.012202e-05,4.7516543e-05
4.960263e-05,5.6604305e-05
4.9082995e-05,4.8251797e-05
4.8358015e-05,5.1507075e-05
4.813608e-05,4.6100766e-05
4.7192643e-05,4.5395693e-05
4.684882e-05,4.4001954e-05
4.6322206e-05,4.3491273e-05
4.6079953e-05,4.3896027e-05
4.5480043e-05,4.2504485e-05
4.5053544e-05,4.387134e-05
4.4301192e-05,4.5241384e-05
4.4088647e-05,4.5079978e-05
4.3516644e-05,4.1921463e-05
4.3121934e-05,4.035614e-05
4.2619893e-05,4.118192e-05
4.2279513e-05,4.0276e-05
4.206875e-05,3.9890096e-05
4.1271618e-05,4.4606455e-05
4.1470947e-05,3.948191e-05
4.066889e-05,3.8801707e-05
4.0608746e-05,4.3582855e-05
4.0254963e-05,4.1554275e-05
3.994849e-05,3.901347e-05
3.957346e-05,3.777647e-05
3.9097937e-05,3.7320922e-05
3.9048864e-05,3.7527847e-05
3.849843e-05,3.9098933e-05
3.8490838e-05,3.7535974e-05
3.8133796e-05,3.634656e-05
3.749169e-05,3.791428e-05
3.7606133e-05,4.03637e-05
3.7294954e-05,3.527053e-05
3.678462e-05,3.6641653e-05
3.678463e-05,3.469395e-05
3.633783e-05,3.5259338e-05
3.623093e-05,4.2347845e-05
3.60602e-05,3.4182045e-05
3.5703903e-05,3.398891e-05
3.553573e-05,3.6544916e-05
3.5197092e-05,3.4069668e-05
3.5301848e-05,3.700783e-05
3.4814602e-05,3.628891e-05
3.479784e-05,3.3542412e-05
3.4435452e-05,3.253779e-05
3.435227e-05,3.4183788e-05
3.400537e-05,3.2263153e-05
3.3893957e-05,3.337244e-05
3.369941e-05,3.1582782e-05
3.3514203e-05,3.1901003e-05
3.3379652e-05,3.2540644e-05
3.3156997e-05,3.149022e-05
3.265047e-05,3.428877e-05
3.2772896e-05,3.1623884e-05
3.250418e-05,3.1473333e-05
3.248651e-05,3.6531113e-05
3.219721e-05,3.105326e-05
3.211591e-05,3.2069584e-05
3.1881616e-05,3.0539442e-05
3.1761003e-05,3.028022e-05
3.157133e-05,3.0808904e-05
3.1391854e-05,3.4071283e-05
3.117256e-05,3.089688e-05
3.1283016e-05,3.315504e-05
3.0884767e-05,3.5840996e-05
3.0851603e-05,2.9163839e-05
3.1132913e-05,2.913898e-05
3.056169e-05,3.4439578e-05
3.0296247e-05,2.9695353e-05
3.0377189e-05,2.9651941e-05
3.0325868e-05,2.9576348e-05
3.0079547e-05,2.9323612e-05
2.98079e-05,2.8329554e-05
2.9949528e-05,3.0373483e-05
2.9784107e-05,3.1025556e-05
2.9853252e-05,2.8094528e-05
2.948999e-05,2.8991904e-05
2.9469351e-05,2.8875307e-05
2.9396977e-05,2.7970125e-05
2.9103996e-05,2.7321335e-05
2.9109795e-05,3.1059208e-05
2.8820898e-05,2.815902e-05
2.8639752e-05,2.8040366e-05
2.8779852e-05,3.0578653e-05
2.8706401e-05,2.9404191e-05
2.8398486e-05,2.7650018e-05
2.8486162e-05,2.917933e-05
2.8309445e-05,3.4887104e-05
2.8226308e-05,2.6604157e-05
2.7779026e-05,2.898233e-05
2.8360675e-05,2.7184977e-05
2.7650722e-05,2.6750116e-05
2.7783162e-05,2.625595e-05
2.7756301e-05,2.7754151e-05
2.7515407e-05,2.7765982e-05
2.754799e-05,2.8545148e-05
2.768642e-05,2.758415e-05
2.7327751e-05,3.075893e-05
2.7388787e-05,3.1545707e-05
2.7253476e-05,2.7206128e-05
2.7106258e-05,2.834791e-05
2.70069e-05,2.5783012e-05
2.7055443e-05,2.6113854e-05
2.7012858e-05,2.5143694e-05
2.6723836e-05,2.858879e-05
2.6752725e-05,2.756555e-05
2.6385384e-05,2.5273566e-05
2.69452e-05,2.6693067e-05
2.6328775e-05,2.66368e-05
2.6278447e-05,2.5054904e-05
2.6312851e-05,2.5090398e-05
2.6357022e-05,2.4857414e-05
2.6067013e-05,2.5323783e-05
2.622534e-05,2.6510941e-05
2.6044105e-05,2.4601692e-05
2.5792293e-05,3.777552e-05
2.5913112e-05,2.4494582e-05
2.5842524e-05,2.4911747e-05
2.5579633e-05,2.5561623e-05
2.571538e-05,2.4751644e-05
2.568862e-05,2.5632798e-05
2.5506099e-05,2.6955577e-05
2.5438396e-05,2.5912395e-05
2.5546746e-05,2.378934e-05
2.5233088e-05,2.767151e-05
2.5310746e-05,2.4594847e-05
2.5130385e-05,2.6914277e-05
2.5207773e-05,4.0770574e-05
2.4883424e-05,2.4369927e-05
2.5022184e-05,2.4357176e-05
2.5037141e-05,2.3553326e-05
2.4810937e-05,2.4199264e-05
2.495278e-05,2.3675908e-05
2.4734267e-05,2.3608662e-05
2.4566427e-05,2.4834633e-05
2.4712137e-05,2.4901736e-05
2.4455427e-05,2.3329456e-05
2.4598403e-05,2.4486431e-05
2.442678e-05,2.4784778e-05
2.4326093e-05,2.3234763e-05
2.460139e-05,2.2662964e-05
2.4074467e-05,2.3555876e-05
2.4139192e-05,2.4775796e-05
2.4158124e-05,2.4774923e-05
2.4204097e-05,2.5100535e-05
2.4096124e-05,4.4711036e-05
2.3852674e-05,2.9420999e-05
2.4041712e-05,2.4574894e-05
2.3765671e-05,2.2761873e-05
2.4008392e-05,2.231184e-05
2.3817616e-05,2.2817278e-05
2.3877872e-05,2.3083063e-05
2.3796027e-05,2.2802724e-05
2.3807763e-05,2.2577931e-05
2.351479e-05,2.2490301e-05
2.3639646e-05,2.2680268e-05
2.339928e-05,2.226582e-05
2.3571443e-05,2.2379638e-05
2.3423536e-05,2.359921e-05
2.3293953e-05,2.5165455e-05
2.3307755e-05,2.7914668e-05
2.3420964e-05,2.1926358e-05
2.3303042e-05,3.141677e-05
2.3096694e-05,2.2216787e-05
2.3143231e-05,2.5771771e-05
2.3091116e-05,2.404902e-05
2.298607e-05,2.6566997e-05
2.2912945e-05,2.173235e-05
2.2812183e-05,2.1701879e-05
2.2981367e-05,2.2073866e-05
2.2945303e-05,2.3220791e-05
2.2800941e-05,2.2082966e-05
2.3079729e-05,2.2517843e-05
2.2629769e-05,2.4534353e-05
2.2690969e-05,2.2377862e-05
2.2767095e-05,2.2294385e-05
2.2707567e-05,2.1768732e-05
2.260303e-05,2.3119079e-05
2.2502756e-05,2.1598635e-05
2.261874e-05,2.0952457e-05
2.235231e-05,2.2119511e-05
2.236578e-05,2.1089001e-05
2.2310067e-05,2.1484622e-05
2.2246999e-05,2.2956126e-05
2.2332215e-05,2.62595e-05
2.2105038e-05,2.329562e-05
2.2336728e-05,2.1072015e-05
2.2075057e-05,2.1098547e-05
2.2084674e-05,2.2965422e-05
2.197471e-05,2.1688727e-05
2.210579e-05,2.0627522e-05
2.1901542e-05,2.4326437e-05
2.1916101e-05,2.1039328e-05
2.2005255e-05,2.1182497e-05
2.1812008e-05,3.176581e-05
2.185868e-05,2.1908872e-05
2.1760583e-05,2.1655145e-05
2.1778547e-05,2.1073007e-05
2.1840979e-05,2.1719658e-05
2.1920632e-05,2.1074291e-05
2.1628784e-05,2.1974613e-05
2.1656318e-05,2.0585243e-05
2.1729142e-05,2.04711e-05
2.1517078e-05,2.0680542e-05
2.1709362e-05,2.0663696e-05
2.1486407e-05,2.0658163e-05
2.1505755e-05,2.158814e-05
2.1361042e-05,2.0888912e-05
2.144725e-05,2.0053654e-05
2.1281403e-05,2.0494266e-05
2.1278382e-05,2.1820311e-05
2.1361071e-05,2.0987049e-05
2.1234167e-05,2.3315024e-05
2.1171438e-05,2.366749e-05
2.1078922e-05,2.2603288e-05
2.112992e-05,2.1953783e-05
2.1138356e-05,2.4636676e-05
2.1134983e-05,1.9985095e-05
2.0958363e-05,2.2937931e-05
2.1215132e-05,2.1139096e-05
2.0882027e-05,2.0189458e-05
2.1351849e-05,2.6462892e-05
2.0745882e-05,2.9315184e-05
2.09799e-05,2.1129876e-05
2.0764408e-05,2.3321883e-05
2.0915966e-05,2.0213296e-05
2.0840673e-05,1.9708781e-05
2.0707705e-05,2.0891128e-05
2.0640326e-05,2.023784e-05
2.0653952e-05,2.2253906e-05
2.0762804e-05,1.9683148e-05
2.055711e-05,1.980916e-05
2.071326e-05,1.9914012e-05
2.0720956e-05,1.9580759e-05
2.051969e-05,1.9440215e-05
2.0387553e-05,2.3460854e-05
2.0488445e-05,1.9721305e-05
2.044944e-05,1.9523186e-05
2.0466823e-05,1.9733983e-05
2.0193671e-05,2.4372139e-05
2.039386e-05,2.0087617e-05
2.025247e-05,2.1940967e-05
2.0276855e-05,2.5924222e-05
2.0440266e-05,2.0957548e-05
2.0132442e-05,2.0644125e-05
2.0255276e-05,2.0049663e-05
2.0135827e-05,1.8870574e-05
2.0153955e-05,1.9836387e-05
2.0139863e-05,2.1345551e-05
