training_loss,validation_loss
0.13445677,0.038011525
0.030934008,0.025205929
0.020125892,0.012051168
0.006971545,0.0041638073
0.00311825,0.002455651
0.0020952097,0.0018008337
0.0015208225,0.0012703979
0.0010792102,0.0009234616
0.0007798425,0.00067071215
0.0005772367,0.00049674715
0.0004330421,0.00038266694
0.00032768244,0.0003007573
0.0002548772,0.000221984
0.00020341597,0.000182799
0.00016966311,0.00015806736
0.00014762199,0.00016696008
0.00012978958,0.00012144459
0.00011683667,0.000109020424
0.00010753572,0.0001195353
9.834899e-05,0.00012651623
9.2554306e-05,8.412201e-05
8.6148226e-05,9.2954004e-05
8.131622e-05,7.5100295e-05
7.697234e-05,7.1318835e-05
7.32897e-05,6.78109e-05
7.069869e-05,6.4372005e-05
6.831623e-05,6.222057e-05
6.485576e-05,6.2114435e-05
6.315735e-05,5.8706344e-05
6.086716e-05,5.70794e-05
5.9103517e-05,5.4323602e-05
5.776677e-05,8.6503445e-05
5.5666325e-05,5.1448264e-05
5.5036002e-05,5.0426086e-05
5.3673033e-05,5.0011255e-05
5.1911054e-05,6.155524e-05
5.127897e-05,4.7444446e-05
4.9534872e-05,4.5680656e-05
4.8924223e-05,4.48806e-05
4.76275e-05,4.4805685e-05
4.707066e-05,4.334157e-05
4.6124173e-05,4.7619196e-05
4.6057812e-05,4.1184434e-05
4.4359487e-05,4.08852e-05
4.43505e-05,4.055189e-05
4.3062904e-05,4.0318897e-05
4.3294833e-05,3.843383e-05
4.221322e-05,3.8730544e-05
4.1228534e-05,4.0229934e-05
4.1242412e-05,3.75304e-05
3.9917602e-05,4.121829e-05
4.0084255e-05,3.6302623e-05
3.873658e-05,4.1283158e-05
3.9057886e-05,5.1204603e-05
3.8144273e-05,3.4787372e-05
3.783424e-05,3.53992e-05
3.7275804e-05,3.4161396e-05
3.7052556e-05,3.6984795e-05
3.6493308e-05,3.440845e-05
3.6149166e-05,3.536034e-05
3.5397097e-05,3.3363296e-05
3.5560697e-05,4.2859043e-05
3.615044e-05,4.1731706e-05
3.4384906e-05,4.3169777e-05
3.400853e-05,3.127393e-05
3.4081313e-05,3.213497e-05
3.3491968e-05,3.3945762e-05
3.3574062e-05,3.4095523e-05
3.278631e-05,3.2007218e-05
3.275912e-05,3.067202e-05
3.246964e-05,2.9359402e-05
3.218658e-05,2.9831193e-05
3.187035e-05,2.9634815e-05
3.131652e-05,3.4163826e-05
3.133835e-05,2.8931576e-05
3.124583e-05,2.8492075e-05
3.062468e-05,2.786312e-05
3.0352032e-05,2.9666073e-05
3.021211e-05,3.1337444e-05
3.0329309e-05,3.0585146e-05
2.9766235e-05,2.6955475e-05
2.987372e-05,2.7212049e-05
2.9248062e-05,2.6988699e-05
2.929083e-05,4.4579738e-05
2.9317081e-05,3.1884316e-05
2.8626275e-05,3.501525e-05
2.8880297e-05,3.275791e-05
2.8639497e-05,2.950556e-05
2.8136728e-05,2.5461299e-05
2.8447412e-05,2.7648628e-05
2.7892105e-05,2.940565e-05
2.7825889e-05,3.546797e-05
2.8154504e-05,2.7076503e-05
2.7164162e-05,2.5074767e-05
2.7293914e-05,2.6634823e-05
2.7276263e-05,2.6491294e-05
2.7127498e-05,2.5181502e-05
2.6746025e-05,2.4290386e-05
2.6692473e-05,2.6551135e-05
2.671579e-05,2.4749757e-05
2.6216609e-05,2.5094869e-05
2.6502767e-05,2.7920636e-05
